SourceID,TargetID,Source,Target,Line
8,95,Alonso Cano,Gregorio Marañón,
95,27,Gregorio Marañón,Av. de América,
27,51,Av. de América,Cartagena,
51,163,Cartagena,Parque de las Avenidas,
163,35,Parque de las Avenidas,Barrio de la Conceptión,
35,185,Barrio de la Conceptión,Pueblo Nuevo,
185,25,Pueblo Nuevo,Ascao,
25,91,Ascao,García Noblejas,
91,216,García Noblejas,Simancas,
216,203,Simancas,San Blas,
203,126,San Blas,Las Musas,
126,83,Las Musas,Estadio Metropolitano,
83,37,Estadio Metropolitano,Barrio del Puerto,
37,65,Barrio del Puerto,Coslada Central,
65,122,Coslada Central,La Rambla,
122,207,La Rambla,San Fernando,
207,109,San Fernando,Jarama,
109,97,Jarama,Henares,
97,103,Henares,Hospital del Henares,
153,58,Nuevos Ministerios,Colombia,8
58,172,Colombia,Pinar del Rey,
172,141,Pinar del Rey,Mar de Cristal,
141,87,Mar de Cristal,Feria de Madrid,
87,2,Feria de Madrid,Aeropuerto T1-T2-T3,
2,34,Aeropuerto T1-T2-T3,Barajas,
34,3,Barajas,Aeropuerto T4,
160,147,Paco de Lucía,Mirasierra,9
147,98,Mirasierra,Herrera Oria,
98,36,Herrera Oria,Barrio del Pilar,
36,233,Barrio del Pilar,Ventilla,
233,177,Ventilla,Plaza de Castilla,
177,73,Plaza de Castilla,Duque de Pastrana,
73,173,Duque de Pastrana,Pío XII,
173,58,Pío XII,Colombia,
58,61,Colombia,Concha Espina,
61,66,Concha Espina,Cruz del Rayo,
66,27,Cruz del Rayo,Av. de América,
27,154,Av. de América,Núñez de Balboa,
154,182,Núñez de Balboa,Príncipe de Vergara,
182,106,Príncipe de Vergara,Ibiza,
106,201,Ibiza,Sainz de Baranda,
201,85,Sainz de Baranda,Estrella,
85,240,Estrella,Vinateros,
240,23,Vinateros,Artilleros,
23,169,Artilleros,Pavones,
169,228,Pavones,Valdebernando,
228,235,Valdebernando,Vicálvaro,
235,204,Vicálvaro,San Cipriano,
204,187,San Cipriano,Puerta de Arganda,
187,176,Puerta de Arganda,Pivas-Urbanzaciones,
176,197,Pivas-Urbanzaciones,Rivas Futura,
197,198,Rivas Futura,Rivas Vaciamadrid,
198,121,Rivas Vaciamadrid,La Poveda,
121,18,La Poveda,Arganda del Rey,
104,195,Hospital Infanta Sofía,Reyes Católicos,10
195,39,Reyes Católicos,Bautanal,
39,139,Bautanal,Manuel de Falla,
139,142,Manuel de Falla,Marqués de la Valdavia,
142,119,Marqués de la Valdavia,La Moraleja,
119,117,La Moraleja,La Granja,
117,199,La Granja,Ronda de la Comunicación,
199,129,Ronda de la Comunicación,Las Tablas,
129,149,Las Tablas,Montecarmelo,
149,222,Montecarmelo,Tres Olivos,
222,89,Tres Olivos,Fuencarral,
89,40,Fuencarral,Begoña,
40,54,Begoña,Chamartín,
54,177,Chamartín,Plaza de Castilla,
177,70,Plaza de Castilla,Cuzco,
70,211,Cuzco,Santiago Bernabéu,
211,153,Santiago Bernabéu,Nuevos Ministerios,
153,95,Nuevos Ministerios,Gregorio Marañón,
95,10,Gregorio Marañón,Alonso Martínez,
10,223,Alonso Martínez,Tribunal,
223,178,Tribunal,Plaza de España,
178,183,Plaza de España,Príncipe Pío,
183,124,Príncipe Pío,Lago,
124,38,Lago,Batán,
38,52,Batán,Casa de Campo,
52,60,Casa de Campo,Colonia Jardín,
60,31,Colonia Jardín,Avitación Española,
31,68,Avitación Española,Cuatro Vientos,
68,110,Cuatro Vientos,Joaquín Vilumbrales,
110,190,Joaquín Vilumbrales,Puerta del Sur,
115,120,La Fortuna,La Peseta,11
120,49,La Peseta,Carabanchel Alto,
49,208,Carabanchel Alto,San Francisco,
208,162,San Francisco,Pan Bendito,
162,0,Pan Bendito,Abrantes,
0,179,Abrantes,Plaza Elíptica,
190,210,Puerta del Sur,San Nicasio,12
210,131,San Nicasio,Leganés Central,
131,105,Leganés Central,Hospital Severo Ochoa,
105,53,Hospital Severo Ochoa,Casa del Reloj,
53,112,Casa del Reloj,Julián Besteiro,
112,77,Julián Besteiro,El Carrascal,
77,74,El Carrascal,El Bercial,
74,135,El Bercial,Los Espartales,
135,78,Los Espartales,El Casar,
78,111,El Casar,Juan de la Cierva,
111,92,Juan de la Cierva,Getafe Central,
92,9,Getafe Central,Alonso de Mendoza,
9,64,Alonso de Mendoza,Conservatorio,
64,21,Conservatorio,Arroyo Culebro,
21,164,Arroyo Culebro,Parque de los Estados,
164,90,Parque de los Estados,Fuenlabrada Central,
90,166,Fuenlabrada Central,Parque Europa,
166,101,Parque Europa,Hospital de Fuenteblanca,
101,134,Hospital de Fuenteblanca,Loranca,
134,140,Loranca,Manuela Malasaña,
140,102,Manuela Malasaña,Hospital de Móstoles,
102,181,Hospital de Móstoles,Pradillo,
181,150,Pradillo,Móstoles Central,
150,224,Móstoles Central,Universidad Rey Juan Carlos,
224,168,Universidad Rey Juan Carlos,Parque Oeste,
168,5,Parque Oeste,Alcorcón Central,
5,167,Alcorcón Central,Parque Lisboa,
167,190,Parque Lisboa,Puerta del Sur,
157,183,Ópera,Príncipe Pío,R
