ID,Station,Degree,Eccentricity,Closeness,Betweenness
101,Hospital de Fuenteblanca,2,40,0.0412036245512053,0.0288208852005532
102,Hospital de Móstoles,2,37,0.0462838486652583,0.0510200553250345
103,Hospital del Henares,1,44,0.0411965811965812,0.0
104,Hospital Infanta Sofía,1,44,0.04018676004669,0.0
105,Hospital Severo Ochoa,2,33,0.0553895656170995,0.080618948824343
106,Ibiza,2,29,0.0970600080547724,0.0887857719159588
107,Iglesia,2,26,0.0982470444353852,0.0075103734439833
108,Isals Filipinas,2,27,0.0917396269508945,0.0010200553250345
109,Jarama,2,42,0.0448622486969471,0.0165283540802213
110,Joaquín Vilumbrales,2,29,0.0684076071529946,0.2062240663900414
111,Juan de la Cierva,2,40,0.0412036245512053,0.0288208852005532
112,Julián Besteiro,2,35,0.0504289600334798,0.0658195020746888
113,La Almuedena,2,31,0.0828748280605227,0.0246887966804979
114,La Elipa,2,30,0.0901271503365744,0.0327800829875518
115,La Fortuna,1,35,0.0523457862728062,0.0
116,La Gavia,2,40,0.0483159582999198,0.0165283540802213
117,La Granja,2,38,0.0525397863527359,0.0487551867219917
118,La Latina,2,24,0.0911153119092627,0.0309901081802015
119,La Moraleja,2,39,0.0500311397135146,0.0408022130013831
120,La Peseta,2,34,0.055224564619615,0.0082987551867219
121,La Poveda,2,42,0.0457565976836909,0.0082987551867219
122,La Rambla,2,40,0.0491636066911464,0.0327800829875518
123,Lacoma,2,33,0.0608739580702197,0.0165283540802213
124,Lago,2,23,0.0966319165998396,0.2456132681288282
125,Laguna,2,26,0.0794330916282135,0.026489371336363
126,Las Musas,2,36,0.0604616156547917,0.0644536652835408
127,Las Rosas,1,34,0.0665378244064053,0.0
128,Las Suertes,2,41,0.0461155759663222,0.0082987551867219
129,Las Tablas,2,36,0.0583111541253326,0.0644536652835408
130,Lavapiés,2,25,0.094994087504927,0.073211404202068
131,Leganés Central,2,32,0.0582547739908146,0.0880186721991701
132,Legazpi,4,29,0.0822525597269624,0.1261122842982281
133,Lista,2,29,0.0951816745655608,0.0010154449054864
134,Loranca,2,39,0.042768411712511,0.0362206085753803
135,Los Espartales,2,38,0.0444567422984689,0.0436203319502074
136,Lucero,2,25,0.083103448275862,0.0311113169334123
137,Manoteras,2,34,0.0655425618710905,0.0029967727063162
138,Manuel Becerra,4,29,0.1007104053489344,0.112081830830534
139,Manuel de Falla,2,41,0.0456180200643573,0.0246887966804979
140,Manuela Malasaña,2,38,0.0444567422984689,0.0436203319502074
141,Mar de Cristal,4,30,0.0831895063859164,0.0703077455048409
142,Marqués de la Valdavia,2,40,0.0477322242028124,0.0327800829875518
143,Marqués de Vadillo,2,28,0.0721989215098861,0.0075807029243232
144,Méndez Álvaro,2,31,0.0834776584689989,0.0710679090100771
145,Menéndez Pelayo,2,29,0.0852493809692253,0.0350089738523347
146,Miguel Hernández,2,36,0.0594181459566074,0.0487551867219917
147,Mirasierra,2,34,0.0639257294429708,0.0082987551867219
148,Moncloa,2,24,0.0934470725087243,0.0294320539419087
149,Montecarmelo,2,35,0.0616525965720133,0.0721991701244813
150,Móstoles Central,2,35,0.0504289600334798,0.0658195020746888
151,Noviciado,2,25,0.0952192809166337,0.0058038458583064
152,Nueva Numancia,2,32,0.0763624841571609,0.0798755186721991
153,Nuevos Ministerios,5,27,0.105240174672489,0.3081307630244349
154,Núñez de Balboa,4,27,0.1063548102383053,0.0964507527396532
155,O'Donnell,2,30,0.0959394904458598,0.1019894166172693
156,Opañel,2,29,0.0746823675240161,0.0394960029309095
157,Ópera,5,23,0.0991769547325102,0.1182727735515597
158,Oporto,4,28,0.0759533564450047,0.0528141465784101
159,Pacífico,4,30,0.0886681383370125,0.1665517560758746
160,Paco de Lucía,1,35,0.0600997506234413,0.0
161,Palos de la Frontera,2,27,0.0853701735742118,0.0631541032733978
162,Pan Bendito,2,31,0.0659190371991247,0.0327800829875518
163,Parque de las Avenidas,2,29,0.0919496375429225,0.1091891424619641
164,Parque de los Estados,2,43,0.0371283315359728,0.0066217150760719
165,Parque de Santa María,2,32,0.0728316711997582,0.0126429230059935
166,Parque Europa,2,41,0.0397492990268843,0.0214211618257261
167,Parque Lisboa,2,31,0.061432577109355,0.0954183955739972
168,Parque Oeste,2,33,0.0553895656170995,0.080618948824343
169,Pavones,2,34,0.0704884469143024,0.0721991701244813
170,Peñagrande,2,31,0.0690742333046718,0.0327800829875518
171,Pinar de Chamartín ,2,33,0.0694925028835063,0.0066343937298293
172,Pinar del Rey,2,29,0.0897244973938942,0.0750766482249884
173,Pío XII,2,29,0.0905674558436678,0.0166839557399723
174,Pirámides,2,27,0.075148113501715,0.0115571897846275
175,Pitis,1,35,0.0543159792652693,0.0
176,Pivas-Urbanzaciones,2,39,0.0528624698398771,0.0327800829875518
177,Plaza de Castilla,5,30,0.0851590106007067,0.1695043798985707
178,Plaza de España,4,23,0.1050108932461873,0.1859932752048936
179,Plaza Elíptica,3,29,0.0754539762053851,0.0739588890535467
180,Portazgo,2,33,0.071343990526939,0.0721991701244813
181,Pradillo,2,36,0.0482675746044462,0.0584197786998616
182,Príncipe de Vergara,4,28,0.1022920203735144,0.1071846058217943
183,Príncipe Pío,5,22,0.103344768439108,0.3110316932567966
184,Prosperidad,2,28,0.0979276716781796,0.0274953895804518
185,Pueblo Nuevo,4,31,0.0835065835065835,0.1495418395573996
