SourceID,TargetID,Source,Target,Line
197,265,Shepherd's Bush Market,Wood Lane,
265,132,Wood Lane,Latimer Road,
132,129,Latimer Road,Ladbroke Grove,
129,256,Ladbroke Grove,Westbourne Park,
256,190,Westbourne Park,Royal Oak,
190,170,Royal Oak,Paddington,
170,70,Paddington,Edgware Road,
70,9,Edgware Road,Baker Street,
9,89,Baker Street,Great Portland Street,
89,76,Great Portland Street,Euston Square,
76,126,Euston Square,King's Cross & St Pancras International,
126,78,King's Cross & St Pancras International,Farringdon,
78,12,Farringdon,Barbican,
12,148,Barbican,Moorgate,
148,136,Moorgate,Liverpool Street,
136,2,Liverpool Street,Aldgate East,
2,259,Aldgate East,Whitechapel,
259,215,Whitechapel,Stepney Green,
215,144,Stepney Green,Mile End,
144,28,Mile End,Bow Road,
28,31,Bow Road,Bromley-by-Bow,
31,251,Bromley-by-Bow,West Ham,
251,177,West Ham,Plaistow,
177,236,Plaistow,Upton Park,
236,66,Upton Park,East Ham,
66,13,East Ham,Barking,
214,40,Stanmore,Canons Park,Jubilee
40,181,Canons Park,Queensbury,
181,127,Queensbury,Kingsbury,
127,247,Kingsbury,Wembley Park,
247,151,Wembley Park,Neasden,
151,60,Neasden,Dollis Hill,
60,260,Dollis Hill,Willesden Green,
260,125,Willesden Green,Kilburn Park,
125,252,Kilburn Park,West Hampstead,
252,80,West Hampstead,Finchley Road,
80,221,Finchley Road,Swiss Cottage,
221,211,Swiss Cottage,St John's Wood,
211,9,St John's Wood,Baker Street,
9,24,Baker Street,Bond Street,
24,90,Bond Street,Green Park,
90,257,Green Park,Westminster,
257,244,Westminster,Waterloo,
244,209,Waterloo,Southwalk,
209,137,Southwalk,London Bridge,
137,20,London Bridge,Bermondsey,
20,36,Bermondsey,Canada Water,
36,37,Canada Water,Canary Wharf,
36,156,Canada Water,North Greenwich,
156,38,North Greenwich,Canning Town,
38,251,Canning Town,West Ham,
251,218,West Ham,Stratford,
237,109,Uxbridge,Hillingdon,Met
109,118,Hillingdon,Ickenham,
118,192,Ickenham,Ruislip Gardens,
192,193,Ruislip Gardens,Ruislip Manor,
193,68,Ruislip Manor,Eastcote,
68,184,Eastcote,Rayners Lane,
184,253,Rayners Lane,West Harrow,
253,99,West Harrow,Harrow-on-the-Hill,
99,161,Harrow-on-the-Hill,Northwick Park,
161,178,Northwick Park,Preston Road,
178,247,Preston Road,Wembley Park,
247,80,Wembley Park,Finchley Road,
80,9,Finchley Road,Baker Street,
9,89,Baker Street,Great Portland Street,
89,76,Great Portland Street,Euston Square,
76,126,Euston Square,King's Cross & St Pancras International,
126,78,King's Cross & St Pancras International,Farringdon,
78,12,Farringdon,Barbican,
12,148,Barbican,Moorgate,
148,136,Moorgate,Liverpool Street,
136,1,Liverpool Street,Aldgate,
45,41,Chesham,Chalfont & Latimer,
4,41,Amersham,Chalfont & Latimer,
41,48,Chalfont & Latimer,Chorleywood,
48,188,Chorleywood,Rickmansworth,
188,147,Rickmansworth,Moor Park,
147,162,Moor Park,Northwood,
162,163,Northwood,Northwood Hills,
163,176,Northwood Hills,Pinner,
176,157,Pinner,North Harrow,
157,99,North Harrow,Harrow-on-the-Hill,
245,56,Watford,Croxley,
56,147,Croxley,Moor Park,
69,33,Edgware,Burnt Oak,Northern
33,53,Burnt Oak,Colindale,
53,104,Colindale,Hendon Central,
104,29,Hendon Central,Brent Cross,
29,85,Brent Cross,Golders Green,
85,95,Golders Green,Hampstead,
95,19,Hampstead,Belsize Park,
19,42,Belsize Park,Chalk Farm,
42,35,Chalk Farm,Camden Town,
35,150,Camden Town,Mornington Crescent,
150,75,Mornington Crescent,Euston,
75,242,Euston,Warren Street,
242,87,Warren Street,Goodge Street,
87,226,Goodge Street,Tottenham Court Road,
226,133,Tottenham Court Road,Leicester Square,
133,44,Leicester Square,Charing Cross,
44,73,Charing Cross,Embankment,
73,244,Embankment,Waterloo,
244,119,Waterloo,Kennington,
119,153,Kennington,Nine Elms,
153,16,Nine Elms,Battersea Power Station,
119,168,Kennington,Oval,
168,216,Oval,Stockwell,
216,50,Stockwell,Clapham North,
