ID,Station,Degree,Eccentricity,Closeness,Betweenness
105,High Barnet,1,33,0.0482210583348383,0.0
106,High Street Kensington,3,24,0.0987426035502958,0.0580015894918319
107,Highbury & Islington,2,23,0.0983787767133382,0.0956041789867928
108,Highgate,2,27,0.0671698113207547,0.0512517248176621
109,Hillingdon,2,34,0.0573084352865421,0.0074906367041198
110,Holborn,4,21,0.1054502369668246,0.0198947743891564
111,Holland Park,2,26,0.0900505902192242,0.0523286994014374
112,Holloway Road,2,24,0.0897177419354838,0.0037453183520599
113,Hornchurch,2,36,0.0450708980418636,0.0149249528315169
114,Hounslow Central,2,34,0.0547243287558926,0.0368899777533721
115,Hounslow East,2,33,0.0577547047371836,0.0440990115738785
116,Hounslow West,2,35,0.0519758613977029,0.0296246233561431
117,Hyde Park Corner,2,21,0.1127533783783783,0.1716999270961423
118,Ickenham,3,33,0.0607508532423208,0.0152628762918532
119,Kennington,4,21,0.1013667425968109,0.0533278420771028
120,Kensal Green,2,27,0.0795827123695976,0.058348117484723
121,Kensington (Olympia),1,25,0.0890296765588529,0.0
122,Kentish Town,2,24,0.0827906976744186,0.0723719410886767
123,Kenton,2,34,0.0517341600465026,0.0074906367041198
124,Kew Gardens,2,29,0.0713903743315508,0.0074906367041198
125,Kilburn Park,4,25,0.0934546727336366,0.0843747946645639
126,King's Cross & St Pancras International,7,22,0.1078352180936995,0.1982503074164811
127,Kingsbury,2,25,0.0909400544959128,0.0223029483821914
128,Knightsbridge,2,22,0.1064593301435406,0.1677856470139143
129,Ladbroke Grove,2,27,0.0819018404907975,0.0135622295438972
130,Lambeth North,2,21,0.100187617260788,0.0039154534275764
131,Lancaster Gate,2,23,0.1022205206738131,0.0263753954173824
132,Latimer Road,2,28,0.0778652668416448,0.0087468202341058
133,Leicester Square,4,21,0.1036088474970896,0.0058305877052181
134,Leyton,2,26,0.0785987636149543,0.1326912787586945
135,Leytonstone,3,27,0.0736145574855252,0.1272141026724113
136,Liverpool Street,5,22,0.1023773006134969,0.2722494438343051
137,London Bridge,4,22,0.0981978668628172,0.0376657936977275
138,Loughton,2,32,0.0547467705556694,0.0223029483821914
139,Maida Vale,2,26,0.0890593729152768,0.0225629617113945
140,Manor House,2,25,0.0833333333333333,0.0512517248176621
141,Mansion House,2,23,0.0830999066293183,0.0064111589836012
142,Marble Arch,2,22,0.1083164300202839,0.0304727173739593
143,Marylebone,2,23,0.1049115913555992,0.0
144,Mile End,4,24,0.0896273917421953,0.232397942421597
145,Mill Hill East,1,30,0.0561986950115765,0.0
146,Monument,2,25,0.0792284866468842,0.0043850262360019
147,Moor Park,3,32,0.0605579496484463,0.0515333277012756
148,Moorgate,4,22,0.102455871066769,0.0875038720396497
149,Morden,1,30,0.0511396284236736,0.0
150,Mornington Crescent,2,22,0.09698510715583,0.1454760496747486
151,Neasden,2,25,0.0912820512820512,0.0066458280532792
152,Newbury Park,2,31,0.0575059228946801,0.0180366646954464
153,Nine Elms,2,22,0.0921325051759834,0.0074906367041198
154,North Acton,3,30,0.0730106644790812,0.0413461869405097
155,North Ealing,2,30,0.0713522180652057,0.0292890465865037
156,North Greenwich,2,25,0.0809090909090909,0.0101560079975218
157,North Harrow,2,28,0.0782302959273366,0.0792993720255695
158,North Wembley,2,32,0.0576051779935275,0.0223029483821914
159,Northfields,2,30,0.0690457719162141,0.0653881895750612
160,Northolt,2,34,0.0606542480690595,0.0136295795668947
161,Northwick Park,2,26,0.0884985084521047,0.1561813397413634
162,Northwood,2,31,0.0642290113062304,0.058348117484723
163,Northwood Hills,2,30,0.0683388789352444,0.0653881895750612
164,Notting Hill Gate,4,25,0.0973741794310722,0.095368884132929
165,Oakwood,2,31,0.0561160151324085,0.0074906367041198
166,Old Street,2,23,0.1014437689969604,0.041300582917969
167,Osterley,2,32,0.0611123826962691,0.0512517248176621
168,Oval,2,22,0.0929989550679205,0.0292913932772004
169,Oxford Circus,6,21,0.116542994325622,0.1534651234828647
170,Paddington,4,24,0.1027318199307426,0.0908359381600068
171,Park Royal,2,31,0.0682515337423312,0.0247974805928679
172,Parsons Green,2,27,0.0763948497854077,0.0368899777533721
173,Perivale,2,32,0.0656665027053615,0.0217517889605411
174,Piccadilly Circus,4,21,0.1105132450331125,0.012338195676457
175,Pimlico,2,22,0.1015981735159817,0.0574559056818074
176,Pinner,2,29,0.0729707570374419,0.0723719410886767
177,Plaistow,2,27,0.0733919736118746,0.0792993720255695
178,Preston Road,2,25,0.0934546727336366,0.1607198395489348
179,Putney Bridge,2,28,0.0711430855315747,0.0296246233561431
180,Queen's Park,2,26,0.0859903381642512,0.0653881895750612
181,Queensbury,2,26,0.0834896810506566,0.0149249528315169
182,Queensway,2,24,0.0980176211453744,0.0231979762139431
183,Ravenscourt Park,2,27,0.0802766085387853,0.0029286699895806
184,Rayners Lane,3,29,0.0763729977116704,0.0927925306399582
185,Redbridge,2,29,0.0645707376058041,0.0322716904621103
186,Regent's Park,2,22,0.1107883817427385,0.0230730540458511
187,Richmond,1,30,0.0666500249625561,0.0
188,Rickmansworth,2,33,0.0572101992714806,0.0296246233561431
189,Roding Valley,2,31,0.0578799046173856,0.0188110726253836
190,Royal Oak,2,25,0.0935856992639327,0.0252205889254972
191,Ruislip,2,32,0.0633151529523357,0.0087437695362
192,Ruislip Gardens,4,32,0.0645707376058041,0.0342590245901895
193,Ruislip Manor,3,31,0.067475360121304,0.0482406077616012
194,Russel Square,2,22,0.1012898330804248,0.0073855049609041
195,Seven Sisters,2,25,0.0831257783312577,0.0223029483821914
196,Shepherd's Bush,2,27,0.084280303030303,0.0466121608640828
197,Shepherd's Bush Market,2,28,0.0769009216589861,0.0074068598462448
198,Sloane Square,2,22,0.1049941014549744,0.028727718171834
199,Snaresbrook,2,28,0.0689744252131232,0.0747655655993917
200,South earling,2,29,0.0737772865432439,0.0723719410886767
201,South Harrow,2,30,0.0727718724448078,0.0317483784367285
202,South Kensington,2,23,0.1,0.0252452291778134
203,South Kenton,2,33,0.054523177455585,0.0149249528315169
204,South Ruislip,2,33,0.0623540401681457,0.0154338718206252
205,South Wimbledon,2,29,0.0538849646821392,0.0074906367041198
206,South Woodford,2,29,0.0648845686512758,0.0678944552392216
207,Southfields,2,30,0.0624561403508771,0.0149249528315169
208,Southgate,2,30,0.0594125500667556,0.0149249528315169
209,Southwalk,2,21,0.1010598031794095,0.0137994799733415
210,St James's Park,2,20,0.1062052505966587,0.0039330536078022
211,St John's Wood,2,23,0.1026528258362168,0.0029521368965484
212,St Paul's,2,22,0.0992934176273707,0.0097880468962668
213,Stamford Brook,2,28,0.0767682576193214,0.0007884880741178
214,Stanmore,1,28,0.0716201716738197,0.0
215,Stepney Green,2,25,0.0826113861386138,0.0030704101076661
216,Stockwell,4,21,0.0921007243877199,0.0754878769958604
217,Stonebridge Park,2,30,0.0648530483361671,0.0368899777533721
218,Stratford,3,25,0.0842537077942568,0.2219434353674448
219,Sudbury Hill,2,31,0.0697310002611648,0.027242732298912
220,Sudbury Town,2,32,0.0671022870067856,0.023211117681845
221,Swiss Cottage,2,24,0.0968443960826985,0.0007556344043629
222,Temple,2,21,0.0972323379461034,0.0192484957712632
223,Theydon Bois,2,34,0.0494169905607995,0.0074906367041198
224,Tooting Bec,2,26,0.0640441352842408,0.0296246233561431
225,Tooting Broadway,2,27,0.0602844885978776,0.0223029483821914
226,Tottenham Court Road,4,21,0.1085365853658536,0.0186001051317432
227,Tottenham Hale,2,26,0.0768566493955095,0.0149249528315169
228,Totteridge & Whetstone,2,32,0.0506545247581104,0.0074906367041198
229,Tower Hill,3,24,0.0856867779204107,0.0103010334825828
230,Tufnell Park,2,25,0.0768787791534696,0.0653881895750612
231,Turnham Green,5,27,0.0830740510267579,0.1355946044887498
232,Turnpike Lane,2,26,0.0772122614227877,0.0440990115738785
233,Upminster,1,38,0.041369693213511,0.0
234,Upminster Bridge,2,37,0.043148028442146,0.0074906367041198
235,Upney,2,31,0.0576176089771255,0.0512517248176621
236,Upton Park,2,28,0.0687435633367662,0.0723719410886767
237,Uxbridge,1,35,0.0542131979695431,0.0
238,Vauxhal,2,22,0.0953230988932524,0.052673350041771
239,Victoria,4,21,0.1115754283326368,0.0774262435114002
240,Walthamstow Central,1,28,0.0666833166833166,0.0
241,Wanstead,2,28,0.0687967018809585,0.0394244037058939
242,Warren Street,3,22,0.1084924827305973,0.1244811466869421
243,Warwick Avenue,2,25,0.094213126323218,0.0255667258032721
244,Waterloo,6,20,0.1111111111111111,0.2845935062375045
245,Watford,1,34,0.0540595262198825,0.0
246,Wembley Central,2,31,0.0610285714285714,0.0296246233561431
247,Wembley Park,4,24,0.0997757847533632,0.2016977524960967
248,West Acton,2,31,0.0697492163009404,0.0127425304835121
249,West Brompton,2,25,0.0894472361809045,0.0512517248176621
250,West Finchley,2,30,0.0562697576396206,0.0223029483821914
251,West Ham,4,26,0.0786682380671773,0.0912257234847418
252,West Hampstead,2,24,0.0978021978021978,0.0678193611369247
253,West Harrow,2,28,0.079940119760479,0.0926892762492998
254,West Kensington,2,25,0.0902027027027027,0.0
255,West Ruislip,1,33,0.0606680299931833,0.0
256,Westbourne Park,2,26,0.0872834259561948,0.019095726206903
257,Westminster,4,19,0.1149870801033591,0.259540001689617
